
第1章 ：星河坠落提瓦特 - 穿越与初遇派蒙，危机初现端倪
第2章 ：蒙德的初印象 -  初探蒙德城，与丽莎的首次相遇
第3章 ：酒馆的闲谈 -  了解提瓦特局势，派蒙展现惊人一面
第4章 ：丽莎的试探 -  星河展现科技实力，引来丽莎的警惕
第5章 ：委托与冒险 -  接受委托，初次展现星穹铁道科技的运用
第6章 ：风魔龙的挑战 -  运用科技对抗风魔龙，展现策略与智慧
第7章 ：派蒙的异常 -  派蒙出现记忆碎片，暗示其不寻常身份
第8章 ：丽莎的秘密魔法 -  丽莎使用禁忌魔法，展现其神秘一面
第9章 ：旅行者的出现 -  与原神旅行者初次相遇，产生摩擦与合作
第10章 ：蒙德的阴谋 -  发现蒙德隐藏的危机，与丽莎深入合作
第11章 ：追捕令的阴影 -  星河收到星穹铁道追捕令，内心挣扎
第12章 ：深入调查 -  调查蒙德的危机，发现与丽莎的秘密组织有关
第13章 ：钟离的现身 -  钟离初次出现，对星河进行暗示与引导
第14章 ：失落科技的线索 -  发现关于提瓦特失落科技的线索
第15章 ：前往璃月 -  踏上前往璃月的旅程，面对新的挑战
第16章 ：璃月港的繁华 -  体验璃月港的文化，了解璃月局势
第17章 ：往生堂的委托 -  接受往生堂的委托，深入了解璃月历史
第18章 ：岩王帝君的考验 -  钟离对星河进行考验，揭示其真实目的
第19章 ：地脉异常 -  发现璃月地脉异常，与旅行者合作调查
第20章 ：黄金屋的秘密 -  探索黄金屋的秘密，发现与失落科技有关
第21章 ：刻晴的质疑 -  刻晴对星河的科技持有怀疑态度
第22章 ：对抗岩龙蜥 -  运用科技与策略对抗强大的岩龙蜥
第23章 ：派蒙的回忆 -  派蒙回忆片段增多，身份逐渐清晰
第24章 ：丽莎的引导 -  丽莎引导星河学习提瓦特魔法
第25章 ：星河的抉择 -  星河面临道德困境，做出艰难选择
第26章 ：前往稻妻 -  前往稻妻，面对新的挑战与危机
第27章 ：稻妻的雷电 -  体验稻妻的文化与习俗，对抗雷电将军的威压
第28章 ：八重神子的试探 -  八重神子对星河进行试探，考验其能力
第29章 ：影向地的秘密 -  探索影向地的秘密，发现与提瓦特历史有关
第30章 ：反抗军与合作 -  与稻妻反抗军合作，对抗幕后黑手
第31章 ：永恒的执政官 -  与雷电将军正面交锋，展现智慧与实力
第32章 ：派蒙的过去 -  派蒙的过去逐渐揭开，与提瓦特古老文明有关
第33章 ：丽莎的组织 -  丽莎所属组织的真相逐渐浮出水面
第34章 ：前往须弥 -  前往须弥，面对新的挑战与文化
第35章 ：须弥的智慧 -  体验须弥的文化，了解须弥的智慧与科技
第36章 ：草神的大智慧 -  与草神进行交流，探讨生命的意义
第37章 ：森林的危机 -  须弥森林面临危机，星河运用科技解决问题
第38章 ：沙漠的秘密 -  探索须弥沙漠的秘密，发现远古文明的遗迹
第39章 ：散兵的阴谋 -  散兵的阴谋逐渐浮出水面，星河需要应对
第40章 ：与散兵的对抗 -  与散兵展开对抗，展现星穹铁道科技的优势
第41章 ：前往枫丹 -  前往枫丹，面对新的挑战与科技
第42章 ：枫丹的审判 -  体验枫丹的法律与秩序，面对复杂的案件
第43章 ：水神的神秘 -  与水神进行互动，了解枫丹的秘密
第44章 ：机械岛的危机 -  枫丹机械岛面临危机，星河运用科技解决问题
第45章 ：潜入深海 -  潜入深海，探索深海的秘密与科技
第46章 ：派蒙的预言 -  派蒙预言即将到来的巨大危机
第47章 ：丽莎的抉择 -  丽莎面临艰难的抉择，需要做出牺牲
第48章 ：前往纳塔 -  前往纳塔，面对新的挑战与文化
第49章 ：纳塔的冰雪 -  体验纳塔的严寒环境，与冰雪元素对抗
第50章 ：雪山之巅的秘密 -  探索雪山之巅的秘密，发现远古文明的遗迹
第51章 ：冰神的考验 -  冰神对星河进行考验，考验其心性与毅力
